dataset_split,batch_index,num_samples,mse,rmse,vrmse
test,0,1,2.2954108715057373,1.515061378479004,0.051374468952417374
test,1,1,2.9118940830230713,1.7064273357391357,0.057619113475084305
test,2,1,2.7958152294158936,1.6720691919326782,0.05643235146999359
test,3,1,2.654449701309204,1.6292481422424316,0.055268220603466034
test,4,1,2.1709225177764893,1.473405122756958,0.05009395256638527
test,5,1,2.7031805515289307,1.6441352367401123,0.05583777651190758
test,6,1,2.46683931350708,1.570617437362671,0.053137317299842834
test,7,1,2.1301631927490234,1.4595078229904175,0.049306273460388184
test,8,1,2.1048049926757812,1.4507945775985718,0.04882647842168808
test,9,1,2.11932635307312,1.455790638923645,0.048887088894844055
test,10,1,2.400129795074463,1.549235224723816,0.05210896208882332
test,11,1,1.9075790643692017,1.3811513185501099,0.04643389582633972
test,12,1,1.916105031967163,1.3842344284057617,0.046338215470314026
test,13,1,2.499119281768799,1.5808602571487427,0.05264642834663391
test,14,1,2.1867587566375732,1.478769302368164,0.04920191690325737
test,15,1,2.5200085639953613,1.5874534845352173,0.05275791883468628
test,16,1,2.497490882873535,1.5803451538085938,0.052443474531173706
test,17,1,3.4509170055389404,1.8576643466949463,0.061463724821805954
test,18,1,3.1880874633789062,1.7855216264724731,0.05911692976951599
test,19,1,3.687396764755249,1.9202595949172974,0.06359876692295074
test,20,1,2.383582353591919,1.5438854694366455,0.05112234875559807
test,21,1,1.873927354812622,1.3689146041870117,0.04515370726585388
test,22,1,1.7629759311676025,1.3277710676193237,0.04356204718351364
test,23,1,2.0926218032836914,1.446589708328247,0.047239888459444046
test,24,1,2.4315032958984375,1.5593278408050537,0.05085981264710426
test,25,1,3.1813626289367676,1.783637523651123,0.05824865400791168
test,26,1,2.90346097946167,1.7039544582366943,0.05575438216328621
test,27,1,3.0454962253570557,1.7451350688934326,0.057275693863630295
test,28,1,3.887505054473877,1.9716757535934448,0.06502976268529892
test,29,1,3.454895496368408,1.8587349653244019,0.061283793300390244
test,30,1,3.1552960872650146,1.7763153314590454,0.05823983997106552
test,31,1,2.62800931930542,1.621113657951355,0.052869513630867004
test,32,1,2.719716787338257,1.6491563320159912,0.05364842712879181
test,33,1,3.163675308227539,1.7786723375320435,0.05791918933391571
test,34,1,3.0217838287353516,1.7383278608322144,0.05664012208580971
test,35,1,3.8730809688568115,1.9680144786834717,0.06403011828660965
